category,vendor_product,matched_tokens,n_new_cves,covered_elsewhere_slug,risk_flags,sample_cves,sample_descriptions
hub,checkpoint:quantum_security_gateway,gateway,4,,broad-token|non-consumer-vendor,CVE-2024-24914|CVE-2021-3449|CVE-2021-30361,Authenticated Gaia users can inject code or commands by global variables through special HTTP requests. A Security fix that mitigates this vulnerabili|An OpenSSL TLS server may crash if sent a maliciously crafted renegotiation ClientHello message from a client. If a TLSv1.2 renegotiation ClientHello |The Check Point Gaia Portal's GUI Clients allowed authenticated administrators with permission for the GUI Clients settings to inject a command that w
hub,cisco:content_services_gateway_second_generation,gateway,4,,broad-token|non-consumer-vendor,CVE-2011-0348|CVE-2011-0349|CVE-2011-0350,"Cisco IOS 12.4(11)MD, 12.4(15)MD, 12.4(22)MD, 12.4(24)MD before 12.4(24)MD3, 12.4(22)MDA before 12.4(22)MDA5, and 12.4(24)MDA before 12.4(24)MDA3 on t|Unspecified vulnerability in Cisco IOS 12.4(24)MD before 12.4(24)MD2 on the Cisco Content Services Gateway Second Generation (aka CSG2) allows remote |Unspecified vulnerability in Cisco IOS 12.4(24)MD before 12.4(24)MD2 on the Cisco Content Services Gateway Second Generation (aka CSG2) allows remote "
hub,intellicom:netbiter_modbus_rtu-tcp_gateway_mb100,gateway,4,,broad-token,CVE-2010-4730|CVE-2010-4731|CVE-2010-4732,"Directory traversal vulnerability in cgi-bin/read.cgi in WebSCADA WS100 and WS200, Easy Connect EC150, Modbus RTU - TCP Gateway MB100, and Serial Ethe|Absolute path traversal vulnerability in cgi-bin/read.cgi in WebSCADA WS100 and WS200, Easy Connect EC150, Modbus RTU - TCP Gateway MB100, and Serial |cgi-bin/read.cgi in WebSCADA WS100 and WS200, Easy Connect EC150, Modbus RTU - TCP Gateway MB100, and Serial Ethernet Server SS100 on the IntelliCom N"
hub,logitech:harmony_hub_firmware,hub,4,babymonitor|cameras|gameconsoles,,CVE-2018-15720|CVE-2018-15721|CVE-2018-15722,Logitech Harmony Hub before version 4.15.206 contained two hard-coded accounts in the XMPP server that gave remote users access to the local API.|The XMPP server in Logitech Harmony Hub before version 4.15.206 is vulnerable to authentication bypass via a crafted XMPP request. Remote attackers ca|The Logitech Harmony Hub before version 4.15.206 is vulnerable to OS command injection via the time update request. A remote server or man in the midd
hub,logitech:harmony_hub,hub,4,babymonitor|cameras|gameconsoles,,CVE-2018-15720|CVE-2018-15721|CVE-2018-15722,Logitech Harmony Hub before version 4.15.206 contained two hard-coded accounts in the XMPP server that gave remote users access to the local API.|The XMPP server in Logitech Harmony Hub before version 4.15.206 is vulnerable to authentication bypass via a crafted XMPP request. Remote attackers ca|The Logitech Harmony Hub before version 4.15.206 is vulnerable to OS command injection via the time update request. A remote server or man in the midd
hub,ui:unifi_cloud_gateway_industrial_firmware,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
hub,ui:unifi_cloud_gateway_industrial,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
hub,ui:enterprise_fortress_gateway_firmware,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
hub,ui:enterprise_fortress_gateway,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
hub,ui:unifi_cloud_gateway_ultra_firmware,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
hub,ui:unifi_cloud_gateway_ultra,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
hub,ui:unifi_cloud_gateway_max_firmware,gateway,4,,broad-token|non-consumer-vendor,CVE-2026-34908|CVE-2026-34909|CVE-2026-34910,A malicious actor with access to the network could exploit an Improper Access Control vulnerability found in UniFi OS devices to make unauthorized cha|A malicious actor with access to the network could exploit a Path Traversal vulnerability found in UniFi OS devices to access files on the underlying |A malicious actor with access to the network could exploit an Improper Input Validation vulnerability found in UniFi OS devices to execute a Command I
