iri	vocabulary
https://saref.etsi.org/saref4ener/Power	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerConstraint	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerEnvelope	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerEnvelopeConsequenceType	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerEnvelopeLimitType	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerEnvelopeProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerExpected	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerLimit	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerLimitProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerMax	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerMin	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerPlan	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerProfile	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerRange	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSequence	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSequenceContainer	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSequenceElement	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSequenceState	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSequenceStatus	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSkewness	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerSource	SAREF4ENER
https://saref.etsi.org/saref4ener/PowerStandardDeviation	SAREF4ENER
https://saref.etsi.org/saref4ener/RemainingPauseTime	SAREF4ENER
https://saref.etsi.org/saref4ener/RemainingSlotTime	SAREF4ENER
https://saref.etsi.org/saref4ener/ResumeCostEstimated	SAREF4ENER
https://saref.etsi.org/saref4ener/ResumeEnergyEstimated	SAREF4ENER
https://saref.etsi.org/saref4ener/Role	SAREF4ENER
https://saref.etsi.org/saref4ener/RoleType	SAREF4ENER
https://saref.etsi.org/saref4ener/ScheduleInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/ScopeType	SAREF4ENER
https://saref.etsi.org/saref4ener/Slot	SAREF4ENER
https://saref.etsi.org/saref4ener/SlotTimeDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/StartInterruptionInstruction	SAREF4ENER
https://saref.etsi.org/saref4ener/StartTime	SAREF4ENER
https://saref.etsi.org/saref4ener/StartTimeDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/State	SAREF4ENER
https://saref.etsi.org/saref4ener/Storage	SAREF4ENER
https://saref.etsi.org/saref4ener/TimePeriod	SAREF4ENER
https://saref.etsi.org/saref4ener/TimePeriodDurationDescription	SAREF4ENER
https://saref.etsi.org/saref4ener/TimeSeries	SAREF4ENER
https://saref.etsi.org/saref4ener/Timer	SAREF4ENER
https://saref.etsi.org/saref4ener/Transition	SAREF4ENER
https://saref.etsi.org/saref4ener/Usage	SAREF4ENER
https://saref.etsi.org/saref4ener/ValueSource	SAREF4ENER
https://saref.etsi.org/saref4ener/ValueTendency	SAREF4ENER
https://saref.etsi.org/saref4syst/System	SAREF4SYST
https://saref.etsi.org/saref4wear/BiometricProperty	SAREF4WEAR
https://saref.etsi.org/saref4wear/CommunicatingFunction	SAREF4WEAR
https://saref.etsi.org/saref4wear/ControllingFunction	SAREF4WEAR
https://saref.etsi.org/saref4wear/CrowdProperty	SAREF4WEAR
https://saref.etsi.org/saref4wear/ElectricalProperty	SAREF4WEAR
https://saref.etsi.org/saref4wear/ElectricalSafetyProperty	SAREF4WEAR
https://saref.etsi.org/saref4wear/EmissionProperty	SAREF4WEAR
https://saref.etsi.org/saref4wear/EnvironmentalProperty	SAREF4WEAR
https://saref.etsi.org/saref4wear/FabricWearable	SAREF4WEAR
https://saref.etsi.org/saref4wear/InBodyWearable	SAREF4WEAR
https://saref.etsi.org/saref4wear/Interface	SAREF4WEAR
https://saref.etsi.org/saref4wear/LivingOrganism	SAREF4WEAR
https://saref.etsi.org/saref4wear/MemoryStorage	SAREF4WEAR
https://saref.etsi.org/saref4wear/NavigatingFunction	SAREF4WEAR
https://saref.etsi.org/saref4wear/NearBodyWearable	SAREF4WEAR
https://saref.etsi.org/saref4wear/Occurrence	SAREF4WEAR
https://saref.etsi.org/saref4wear/OnBodyWearable	SAREF4WEAR
https://saref.etsi.org/saref4wear/Policy	SAREF4WEAR
https://saref.etsi.org/saref4wear/PowerSupply	SAREF4WEAR
https://saref.etsi.org/saref4wear/Software	SAREF4WEAR
https://saref.etsi.org/saref4wear/TextileBasedSensor	SAREF4WEAR
https://saref.etsi.org/saref4wear/TextileBasedWearable	SAREF4WEAR
https://saref.etsi.org/saref4wear/User	SAREF4WEAR
https://saref.etsi.org/saref4wear/Wearable	SAREF4WEAR
https://saref.etsi.org/saref4wear/WearableProperty	SAREF4WEAR
